a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,age,statut_marital,departement,poste,nombre_experiences_precedentes,annees_dans_l_entreprise,target
Non,0,3,2,4,Infra & Cloud,Occasionnel,3,1,2,4,4,3,3,3,Non,53,Marié(e),Commercial,Senior Manager,2,25,0
Non,0,3,2,3,Infra & Cloud,Occasionnel,1,4,3,1,4,3,3,3,Oui,38,Célibataire,Consulting,Assistant de Direction,5,3,0
Non,1,5,11,2,Autre,Aucun,1,1,4,2,3,4,2,3,Non,24,Divorcé(e),Consulting,Tech Lead,0,4,0
Oui,0,4,9,4,Infra & Cloud,Occasionnel,0,3,2,1,1,2,3,4,Non,36,Célibataire,Commercial,Représentant Commercial,7,5,1
Non,0,4,7,4,Infra & Cloud,Occasionnel,2,1,3,3,2,3,3,3,Non,34,Célibataire,Consulting,Directeur Technique,0,12,0
Non,0,6,15,2,Infra & Cloud,Occasionnel,0,3,3,1,4,4,3,3,Non,21,Célibataire,Consulting,Assistant de Direction,1,0,0
Oui,0,2,6,1,Transformation Digitale,Occasionnel,1,2,3,1,1,3,3,3,Non,34,Célibataire,Consulting,Assistant de Direction,2,4,1
Non,1,3,5,3,Autre,Occasionnel,4,3,3,5,3,4,2,3,Non,53,Divorcé(e),Consulting,Senior Manager,4,14,0
Oui,0,5,16,1,Infra & Cloud,Frequent,6,2,1,1,1,2,3,4,Oui,32,Célibataire,Consulting,Assistant de Direction,1,10,1
Non,1,2,8,4,Marketing,Occasionnel,4,3,3,2,2,4,3,3,Non,42,Marié(e),Commercial,Cadre Commercial,0,9,0
Non,1,4,7,4,Transformation Digitale,Occasionnel,5,1,2,3,4,4,3,3,Non,44,Marié(e),Consulting,Manager,3,22,0
Non,0,2,2,4,Marketing,Occasionnel,2,2,3,5,1,4,2,3,Non,46,Célibataire,Commercial,Senior Manager,3,2,0
Non,0,3,2,3,Transformation Digitale,Occasionnel,0,3,3,1,4,4,3,3,Non,33,Célibataire,Consulting,Consultant,4,1,0
Non,0,5,10,4,Autre,Occasionnel,1,4,3,2,4,4,4,3,Oui,44,Marié(e),Consulting,Manager,2,4,0
Non,0,5,9,2,Transformation Digitale,Occasionnel,1,4,2,1,3,1,3,3,Non,30,Célibataire,Consulting,Consultant,1,10,0
Oui,1,6,5,3,Entrepreunariat,Occasionnel,0,4,3,2,4,3,4,3,Non,39,Marié(e),Commercial,Représentant Commercial,3,1,1
Oui,1,2,1,3,Transformation Digitale,Occasionnel,2,2,3,1,4,1,2,3,Oui,24,Marié(e),Consulting,Assistant de Direction,2,2,1
Non,2,3,2,2,Transformation Digitale,Occasionnel,1,4,4,1,3,4,2,3,Non,43,Divorcé(e),Consulting,Assistant de Direction,1,5,0
Oui,0,2,3,2,Marketing,Occasionnel,0,1,2,1,3,3,3,3,Oui,50,Marié(e),Commercial,Représentant Commercial,1,3,1
Non,0,3,2,3,Marketing,Occasionnel,2,4,3,1,4,1,3,3,Non,35,Marié(e),Commercial,Représentant Commercial,1,2,0
Non,1,3,5,4,Infra & Cloud,Occasionnel,0,2,2,1,1,4,4,3,Oui,36,Marié(e),Consulting,Assistant de Direction,9,1,0
Non,2,3,1,3,Infra & Cloud,Frequent,1,3,4,2,1,1,3,3,Non,33,Marié(e),Commercial,Cadre Commercial,2,5,0
Non,1,3,4,2,Autre,Occasionnel,0,3,3,1,4,3,3,3,Non,35,Divorcé(e),Consulting,Consultant,1,1,0
Non,1,6,2,4,Infra & Cloud,Occasionnel,0,4,3,1,1,4,3,3,Non,27,Divorcé(e),Consulting,Consultant,1,1,0
Oui,0,2,25,3,Infra & Cloud,Occasionnel,0,1,1,1,3,3,2,3,Non,26,Célibataire,Consulting,Consultant,1,1,1
Non,0,0,8,3,Infra & Cloud,Frequent,1,4,3,3,3,4,3,3,Non,27,Célibataire,Commercial,Cadre Commercial,1,9,0
Non,0,2,1,2,Transformation Digitale,Frequent,3,3,3,2,4,4,3,4,Non,30,Célibataire,Consulting,Consultant,1,12,0
Oui,0,0,12,3,Entrepreunariat,Occasionnel,15,2,3,5,3,4,3,3,Non,41,Marié(e),Consulting,Directeur Technique,1,22,1
Non,0,2,23,4,Marketing,Aucun,8,2,3,2,3,3,3,4,Non,34,Célibataire,Commercial,Cadre Commercial,0,9,0
Non,0,1,19,2,Infra & Cloud,Occasionnel,0,2,3,1,2,1,3,4,Non,37,Marié(e),Consulting,Assistant de Direction,4,1,0
Non,0,4,5,4,Marketing,Frequent,0,1,3,2,4,3,3,4,Oui,46,Célibataire,Commercial,Cadre Commercial,4,9,0
Non,0,2,8,1,Infra & Cloud,Occasionnel,0,4,4,1,4,4,3,3,Non,35,Marié(e),Consulting,Consultant,1,1,0
Oui,0,2,1,2,Infra & Cloud,Occasionnel,0,1,2,3,3,4,3,3,Oui,48,Célibataire,Consulting,Consultant,9,1,1
Oui,0,3,5,4,Entrepreunariat,Occasionnel,2,3,3,1,3,3,2,3,Oui,28,Célibataire,Consulting,Consultant,1,2,1
Non,1,2,1,5,Marketing,Occasionnel,1,2,3,2,1,3,2,4,Oui,44,Divorcé(e),Commercial,Cadre Commercial,5,4,0
Non,1,3,11,2,Transformation Digitale,Aucun,2,3,2,3,1,3,3,3,Oui,35,Marié(e),Consulting,Manager,2,4,0
Non,1,2,23,3,Marketing,Occasionnel,0,3,2,2,4,3,2,3,Oui,26,Marié(e),Commercial,Cadre Commercial,7,2,0
Non,0,1,1,2,Infra & Cloud,Frequent,8,1,3,3,4,3,3,3,Oui,33,Célibataire,Consulting,Directeur Technique,1,15,0
Non,1,3,18,5,Infra & Cloud,Frequent,1,2,3,3,1,4,2,4,Non,35,Marié(e),Commercial,Cadre Commercial,1,9,0
Non,1,3,23,4,Transformation Digitale,Occasionnel,2,3,3,1,1,3,3,3,Oui,35,Marié(e),Consulting,Consultant,3,2,0
Non,1,3,7,4,Infra & Cloud,Occasionnel,1,4,3,2,4,4,2,4,Non,31,Divorcé(e),Consulting,Consultant,3,7,0
Non,1,2,1,4,Infra & Cloud,Occasionnel,0,1,2,2,3,3,4,3,Non,37,Divorcé(e),Consulting,Tech Lead,1,7,0
Non,1,3,1,3,Transformation Digitale,Occasionnel,7,1,3,2,4,2,3,4,Oui,32,Marié(e),Consulting,Tech Lead,1,9,0
Non,0,2,29,5,Infra & Cloud,Frequent,9,4,3,2,4,4,3,3,Non,38,Célibataire,Consulting,Consultant,1,10,0
Non,1,2,7,2,Transformation Digitale,Occasionnel,13,2,2,5,3,4,2,3,Oui,50,Divorcé(e),Consulting,Directeur Technique,5,27,0
Non,0,3,25,3,Infra & Cloud,Occasionnel,7,1,3,3,1,4,2,3,Non,59,Célibataire,Commercial,Cadre Commercial,7,21,0
Non,3,2,8,3,Entrepreunariat,Occasionnel,12,3,3,3,3,2,3,3,Non,36,Divorcé(e),Consulting,Manager,1,17,0
Non,3,2,8,3,Transformation Digitale,Occasionnel,0,4,3,4,3,3,3,3,Oui,55,Divorcé(e),Consulting,Senior Manager,2,5,0
Non,0,3,11,3,Infra & Cloud,Frequent,0,2,2,2,2,3,3,3,Non,36,Célibataire,Consulting,Tech Lead,1,6,0
Non,1,2,7,3,Infra & Cloud,Occasionnel,0,2,3,3,1,3,3,3,Non,45,Divorcé(e),Consulting,Assistant de Direction,2,1,0
Non,1,2,1,3,Transformation Digitale,Frequent,1,2,3,1,1,4,2,3,Non,35,Marié(e),Consulting,Assistant de Direction,4,3,0
Oui,1,0,9,3,Transformation Digitale,Occasionnel,0,4,2,1,3,1,2,3,Oui,36,Marié(e),Consulting,Assistant de Direction,0,1,1
Non,0,2,1,1,Infra & Cloud,Frequent,1,1,2,2,3,4,2,3,Non,59,Célibataire,Commercial,Cadre Commercial,7,4,0
Non,1,3,2,3,Infra & Cloud,Occasionnel,0,3,3,1,2,4,3,4,Non,29,Marié(e),Consulting,Assistant de Direction,0,5,0
Non,0,4,1,4,Transformation Digitale,Occasionnel,1,3,3,1,2,2,3,3,Non,31,Célibataire,Consulting,Assistant de Direction,1,1,0
Non,2,3,1,3,Infra & Cloud,Occasionnel,0,2,3,2,2,2,3,3,Non,32,Marié(e),Consulting,Assistant de Direction,1,10,0
Non,0,3,6,3,Infra & Cloud,Occasionnel,0,2,4,1,4,2,3,3,Non,36,Marié(e),Consulting,Consultant,3,1,0
Non,0,2,8,4,Infra & Cloud,Occasionnel,1,3,3,2,4,4,3,4,Non,31,Célibataire,Consulting,Tech Lead,1,11,0
Non,0,2,1,4,Marketing,Occasionnel,2,3,2,2,1,2,3,3,Non,35,Célibataire,Commercial,Cadre Commercial,0,15,0
Non,0,3,6,4,Autre,Occasionnel,0,4,3,3,1,2,4,3,Oui,45,Marié(e),Consulting,Directeur Technique,4,0,0
Non,0,3,7,4,Transformation Digitale,Occasionnel,0,1,3,3,3,1,4,3,Non,37,Célibataire,Consulting,Directeur Technique,4,5,0
Non,1,2,5,2,Transformation Digitale,Occasionnel,0,2,3,2,2,4,3,4,Oui,46,Divorcé(e),Ressources Humaines,Ressources Humaines,8,4,0
Non,2,1,1,1,Infra & Cloud,Occasionnel,3,4,2,2,4,3,2,3,Oui,30,Marié(e),Consulting,Consultant,1,10,0
Non,0,3,1,3,Transformation Digitale,Occasionnel,0,2,2,1,3,1,3,3,Non,35,Célibataire,Consulting,Assistant de Direction,1,6,0
Non,1,4,1,2,Infra & Cloud,Occasionnel,1,1,3,3,4,4,3,3,Non,55,Marié(e),Commercial,Cadre Commercial,3,1,0
Non,3,3,6,3,Transformation Digitale,Aucun,1,2,1,2,4,4,3,3,Oui,38,Divorcé(e),Consulting,Assistant de Direction,7,13,0
Non,0,2,1,2,Transformation Digitale,Occasionnel,1,1,3,2,2,3,3,3,Non,34,Marié(e),Consulting,Tech Lead,1,5,0
Non,0,3,7,3,Infra & Cloud,Occasionnel,0,4,1,3,4,1,2,3,Non,56,Célibataire,Consulting,Tech Lead,4,6,0
Non,1,3,2,1,Entrepreunariat,Occasionnel,0,3,3,1,1,3,3,3,Non,23,Divorcé(e),Commercial,Représentant Commercial,3,0,0
Non,2,4,9,4,Infra & Cloud,Occasionnel,0,4,3,1,4,2,3,4,Non,51,Marié(e),Consulting,Consultant,3,4,0
Non,3,3,2,3,Infra & Cloud,Occasionnel,10,3,2,2,4,1,3,3,Non,30,Marié(e),Consulting,Manager,1,11,0
Oui,0,3,9,2,Transformation Digitale,Occasionnel,4,3,2,3,4,4,3,3,Non,46,Célibataire,Commercial,Cadre Commercial,1,9,1
Non,1,3,1,4,Infra & Cloud,Frequent,11,3,2,4,2,4,2,4,Non,40,Marié(e),Consulting,Manager,1,22,0
Non,0,2,21,4,Marketing,Occasionnel,1,3,3,2,4,4,1,4,Oui,51,Célibataire,Commercial,Cadre Commercial,0,10,0
Non,3,4,4,2,Transformation Digitale,Occasionnel,2,3,2,2,2,2,2,3,Oui,30,Divorcé(e),Commercial,Cadre Commercial,1,11,0
Non,1,5,1,3,Transformation Digitale,Frequent,9,3,2,3,1,3,2,3,Oui,46,Marié(e),Consulting,Manager,2,10,0
Non,0,0,6,4,Transformation Digitale,Occasionnel,5,2,3,2,3,1,3,3,Non,32,Célibataire,Commercial,Cadre Commercial,1,11,0
Non,1,5,2,4,Entrepreunariat,Occasionnel,0,1,3,3,3,1,1,3,Non,54,Marié(e),Consulting,Directeur Technique,9,4,0
Non,1,2,3,2,Autre,Occasionnel,0,1,3,2,3,1,2,4,Non,24,Marié(e),Commercial,Cadre Commercial,0,3,0
Non,0,3,4,3,Transformation Digitale,Aucun,0,2,3,2,3,2,4,3,Non,28,Marié(e),Commercial,Cadre Commercial,1,5,0
Non,0,1,10,4,Transformation Digitale,Occasionnel,1,4,3,4,3,3,2,3,Non,58,Célibataire,Commercial,Cadre Commercial,0,37,0
Non,1,3,23,3,Transformation Digitale,Aucun,1,2,3,2,2,3,4,3,Non,44,Marié(e),Consulting,Consultant,4,3,0
Oui,0,3,6,4,Ressources Humaines,Occasionnel,0,3,3,1,1,4,3,4,Oui,37,Divorcé(e),Ressources Humaines,Ressources Humaines,4,3,1
Non,0,2,1,1,Infra & Cloud,Occasionnel,0,4,3,1,1,4,3,3,Non,32,Célibataire,Consulting,Assistant de Direction,1,1,0
Oui,0,5,6,3,Infra & Cloud,Frequent,1,4,2,1,4,2,3,3,Oui,20,Célibataire,Consulting,Consultant,1,1,1
Non,0,3,6,4,Autre,Occasionnel,2,1,3,2,3,3,3,3,Non,34,Célibataire,Consulting,Assistant de Direction,1,16,0
Non,1,2,2,2,Infra & Cloud,Aucun,0,3,2,2,4,4,4,3,Non,37,Divorcé(e),Consulting,Manager,5,1,0
Non,1,3,2,4,Ressources Humaines,Aucun,2,3,2,5,4,4,3,4,Non,59,Marié(e),Ressources Humaines,Senior Manager,9,3,0
Non,0,1,1,3,Infra & Cloud,Frequent,0,1,3,5,2,1,2,3,Oui,50,Marié(e),Consulting,Directeur Technique,3,8,0
Oui,0,1,5,3,Marketing,Occasionnel,0,3,2,2,3,4,3,3,Oui,25,Célibataire,Commercial,Cadre Commercial,1,6,1
Non,2,2,7,1,Transformation Digitale,Occasionnel,2,4,2,1,4,3,3,3,Non,25,Marié(e),Consulting,Assistant de Direction,1,2,0
Non,0,5,15,3,Transformation Digitale,Occasionnel,0,2,3,1,4,3,3,3,Non,22,Célibataire,Consulting,Consultant,1,0,0
Non,0,1,1,4,Transformation Digitale,Frequent,12,1,2,3,1,3,2,4,Non,51,Célibataire,Consulting,Manager,3,13,0
Oui,0,3,7,3,Infra & Cloud,Frequent,0,1,1,2,3,4,3,4,Oui,34,Célibataire,Consulting,Consultant,1,9,1
Non,0,3,26,3,Ressources Humaines,Aucun,4,4,4,4,4,3,3,3,Oui,54,Célibataire,Ressources Humaines,Senior Manager,2,5,0
Non,1,2,18,1,Infra & Cloud,Occasionnel,1,2,3,1,3,3,3,3,Non,24,Marié(e),Consulting,Consultant,0,5,0
Non,1,3,6,4,Infra & Cloud,Occasionnel,0,3,2,2,2,3,3,3,Non,34,Divorcé(e),Consulting,Assistant de Direction,6,1,0
Non,0,3,3,3,Infra & Cloud,Occasionnel,1,3,3,3,4,1,3,3,Non,37,Célibataire,Commercial,Cadre Commercial,2,5,0
Non,0,6,5,3,Transformation Digitale,Occasionnel,5,3,2,3,1,4,3,3,Non,34,Célibataire,Consulting,Senior Manager,2,11,0
Non,1,6,11,2,Entrepreunariat,Frequent,2,2,3,3,4,3,3,3,Non,36,Marié(e),Commercial,Cadre Commercial,0,9,0
Non,1,2,3,2,Infra & Cloud,Occasionnel,0,1,3,1,4,1,3,4,Non,36,Divorcé(e),Consulting,Consultant,5,1,0
Non,2,3,26,2,Infra & Cloud,Frequent,4,3,3,4,4,4,4,3,Oui,43,Marié(e),Commercial,Senior Manager,1,25,0
Non,3,2,23,3,Infra & Cloud,Frequent,0,1,1,1,3,3,2,4,Non,30,Divorcé(e),Consulting,Assistant de Direction,1,10,0
Non,1,2,22,2,Marketing,Aucun,0,3,3,2,2,1,4,3,Non,33,Marié(e),Commercial,Cadre Commercial,0,7,0
Oui,3,2,14,4,Infra & Cloud,Occasionnel,4,2,3,1,2,1,3,3,Oui,56,Marié(e),Consulting,Assistant de Direction,9,5,1
Non,0,5,6,3,Infra & Cloud,Occasionnel,15,1,3,5,3,3,3,3,Non,51,Célibataire,Consulting,Directeur Technique,7,20,0
Oui,0,3,6,4,Infra & Cloud,Occasionnel,7,2,1,2,3,2,2,3,Oui,31,Marié(e),Commercial,Cadre Commercial,4,7,1
Non,0,3,6,3,Autre,Occasionnel,4,3,2,1,2,3,2,3,Non,26,Marié(e),Consulting,Assistant de Direction,1,5,0
Oui,1,3,23,4,Transformation Digitale,Occasionnel,15,4,3,3,4,4,2,3,Non,58,Marié(e),Consulting,Manager,1,40,1
Oui,0,2,22,1,Marketing,Occasionnel,0,4,3,1,3,4,2,3,Oui,19,Célibataire,Commercial,Représentant Commercial,1,0,1
Non,1,2,2,1,Entrepreunariat,Occasionnel,2,3,3,1,4,3,3,3,Non,22,Marié(e),Consulting,Consultant,0,2,0
Non,0,2,20,4,Transformation Digitale,Occasionnel,5,3,3,2,1,3,2,3,Non,49,Marié(e),Consulting,Tech Lead,1,15,0
Non,0,2,28,3,Transformation Digitale,Frequent,1,2,4,1,3,4,3,3,Non,43,Célibataire,Consulting,Assistant de Direction,4,3,0
Non,0,3,12,3,Marketing,Frequent,2,3,3,3,4,4,3,3,Non,50,Célibataire,Commercial,Cadre Commercial,4,2,0
Oui,1,2,20,3,Infra & Cloud,Occasionnel,2,2,1,2,3,3,3,3,Oui,31,Marié(e),Commercial,Cadre Commercial,3,2,1
Non,1,2,9,1,Infra & Cloud,Occasionnel,0,3,3,3,3,3,3,3,Oui,41,Divorcé(e),Commercial,Cadre Commercial,3,9,0
Non,1,3,25,1,Infra & Cloud,Occasionnel,5,3,3,1,3,4,3,4,Non,26,Marié(e),Ressources Humaines,Ressources Humaines,1,8,0
Non,2,0,6,2,Transformation Digitale,Occasionnel,0,2,3,2,2,4,3,4,Non,36,Divorcé(e),Consulting,Tech Lead,6,3,0
Oui,0,2,8,4,Infra & Cloud,Frequent,0,1,1,3,4,4,3,3,Non,51,Célibataire,Consulting,Tech Lead,2,4,1
Non,1,1,4,4,Infra & Cloud,Occasionnel,5,4,2,2,3,3,4,3,Non,39,Marié(e),Commercial,Cadre Commercial,4,15,0
Non,0,3,28,3,Infra & Cloud,Occasionnel,2,1,2,2,3,4,3,3,Non,25,Marié(e),Commercial,Cadre Commercial,2,2,0
Non,0,2,9,3,Ressources Humaines,Occasionnel,4,3,3,2,4,4,1,3,Oui,30,Marié(e),Ressources Humaines,Ressources Humaines,0,11,0
Oui,0,2,9,3,Transformation Digitale,Occasionnel,0,1,3,1,1,1,4,4,Non,32,Célibataire,Consulting,Consultant,7,5,1
Non,0,2,29,3,Transformation Digitale,Occasionnel,0,3,3,1,4,2,2,3,Non,45,Célibataire,Consulting,Assistant de Direction,5,6,0
Non,0,2,3,5,Entrepreunariat,Occasionnel,2,4,3,2,3,2,3,4,Oui,38,Célibataire,Consulting,Assistant de Direction,3,3,0
Non,0,4,18,3,Infra & Cloud,Occasionnel,0,1,3,1,3,3,2,3,Non,30,Célibataire,Consulting,Assistant de Direction,1,5,0
Non,3,2,9,2,Transformation Digitale,Frequent,0,4,1,2,4,4,4,3,Non,32,Divorcé(e),Commercial,Cadre Commercial,0,8,0
Non,1,3,5,3,Entrepreunariat,Occasionnel,2,4,3,1,1,4,3,3,Non,30,Divorcé(e),Consulting,Assistant de Direction,5,3,0
Non,0,3,2,1,Transformation Digitale,Occasionnel,1,2,2,1,4,4,3,3,Non,30,Célibataire,Consulting,Consultant,0,5,0
Non,1,2,10,3,Infra & Cloud,Frequent,7,4,2,4,1,2,2,3,Non,41,Divorcé(e),Consulting,Senior Manager,4,7,0
Non,1,2,9,4,Infra & Cloud,Occasionnel,1,3,3,1,1,4,3,4,Non,41,Marié(e),Consulting,Consultant,2,5,0
Non,0,3,3,1,Transformation Digitale,Occasionnel,0,2,3,1,2,4,3,3,Non,19,Célibataire,Consulting,Consultant,1,1,0
Non,1,2,26,3,Transformation Digitale,Frequent,2,2,3,2,2,1,3,3,Non,40,Divorcé(e),Consulting,Assistant de Direction,1,20,0
Non,2,3,1,5,Marketing,Occasionnel,0,3,3,3,2,1,3,3,Non,35,Marié(e),Commercial,Cadre Commercial,1,10,0
Non,1,3,6,2,Marketing,Occasionnel,4,2,3,2,3,4,1,4,Oui,53,Marié(e),Commercial,Représentant Commercial,2,7,0
Non,1,2,9,3,Infra & Cloud,Occasionnel,0,2,3,2,2,3,1,3,Non,45,Divorcé(e),Consulting,Consultant,8,17,0
Non,0,2,8,3,Marketing,Frequent,3,2,3,3,4,4,3,3,Non,32,Célibataire,Commercial,Cadre Commercial,1,9,0
Non,1,1,1,1,Entrepreunariat,Aucun,0,4,3,2,3,1,3,3,Non,29,Marié(e),Consulting,Tech Lead,1,10,0
Non,0,2,7,4,Transformation Digitale,Occasionnel,0,2,2,2,3,3,3,3,Non,51,Marié(e),Consulting,Tech Lead,2,1,0
Non,1,3,9,3,Transformation Digitale,Occasionnel,0,2,2,1,2,2,2,4,Oui,58,Marié(e),Consulting,Assistant de Direction,4,1,0
Non,1,2,4,4,Marketing,Occasionnel,2,3,2,3,4,1,2,3,Non,40,Marié(e),Commercial,Cadre Commercial,7,12,0
Non,1,3,2,4,Marketing,Frequent,1,3,3,1,3,4,3,3,Non,34,Marié(e),Commercial,Représentant Commercial,6,4,0
Non,2,6,19,1,Transformation Digitale,Occasionnel,2,3,3,1,4,1,3,4,Non,22,Marié(e),Consulting,Assistant de Direction,1,2,0
Non,1,1,9,3,Transformation Digitale,Aucun,2,4,3,1,2,4,1,3,Non,27,Divorcé(e),Consulting,Assistant de Direction,6,2,0
Non,1,2,21,3,Transformation Digitale,Occasionnel,0,3,3,1,4,3,1,3,Non,28,Marié(e),Consulting,Assistant de Direction,1,5,0
Non,1,2,24,2,Infra & Cloud,Occasionnel,1,3,4,3,4,2,1,3,Oui,57,Divorcé(e),Consulting,Manager,3,5,0
Non,1,2,3,3,Transformation Digitale,Aucun,0,3,2,1,3,4,2,3,Oui,27,Divorcé(e),Consulting,Assistant de Direction,1,1,0
Non,0,5,11,3,Infra & Cloud,Occasionnel,4,3,3,5,2,2,3,3,Non,50,Célibataire,Consulting,Senior Manager,3,5,0
Non,1,2,14,3,Infra & Cloud,Occasionnel,1,1,3,1,3,1,3,3,Non,41,Divorcé(e),Consulting,Assistant de Direction,4,9,0
Non,1,2,5,3,Infra & Cloud,Occasionnel,7,2,3,3,4,3,3,3,Non,30,Marié(e),Commercial,Cadre Commercial,2,10,0
Non,0,2,1,4,Infra & Cloud,Occasionnel,0,1,2,2,4,3,4,4,Non,38,Célibataire,Commercial,Cadre Commercial,4,8,0
Non,0,2,6,5,Infra & Cloud,Occasionnel,1,3,3,1,3,1,3,4,Non,32,Célibataire,Consulting,Assistant de Direction,3,5,0
Non,1,3,17,3,Entrepreunariat,Occasionnel,1,3,3,1,2,4,2,3,Oui,27,Marié(e),Consulting,Assistant de Direction,0,5,0
Oui,0,5,1,1,Entrepreunariat,Frequent,0,3,1,1,1,1,4,4,Non,19,Célibataire,Commercial,Représentant Commercial,0,0,1
Non,0,3,3,2,Transformation Digitale,Frequent,7,4,3,1,2,3,2,3,Non,36,Célibataire,Consulting,Consultant,4,8,0
Non,2,4,9,3,Transformation Digitale,Aucun,6,3,3,2,1,3,3,3,Non,30,Divorcé(e),Consulting,Consultant,1,12,0
Non,1,3,4,2,Infra & Cloud,Occasionnel,0,3,3,2,1,1,4,3,Oui,45,Divorcé(e),Commercial,Cadre Commercial,4,5,0
Non,1,3,8,3,Infra & Cloud,Occasionnel,2,3,3,1,1,3,3,3,Oui,56,Divorcé(e),Consulting,Assistant de Direction,4,2,0
Non,0,2,2,3,Infra & Cloud,Occasionnel,0,3,3,1,4,1,4,3,Non,33,Célibataire,Consulting,Assistant de Direction,0,3,0
Oui,0,3,2,3,Infra & Cloud,Occasionnel,1,2,2,1,4,3,2,4,Non,19,Célibataire,Consulting,Consultant,1,1,1
Non,3,2,1,2,Marketing,Occasionnel,15,2,3,3,1,3,3,4,Non,46,Divorcé(e),Commercial,Cadre Commercial,1,24,0
Non,0,3,9,2,Infra & Cloud,Occasionnel,2,3,3,1,4,3,3,3,Non,38,Célibataire,Consulting,Consultant,1,2,0
Non,1,0,12,1,Transformation Digitale,Occasionnel,0,3,3,1,4,3,3,4,Oui,31,Marié(e),Consulting,Assistant de Direction,8,4,0
Non,0,3,27,2,Transformation Digitale,Occasionnel,1,4,3,1,2,4,3,3,Non,34,Célibataire,Consulting,Assistant de Direction,2,3,0
Oui,0,5,20,2,Marketing,Occasionnel,0,2,3,1,2,4,2,4,Oui,41,Célibataire,Commercial,Représentant Commercial,1,4,1
Non,1,2,1,3,Transformation Digitale,Occasionnel,0,3,2,1,3,4,2,3,Non,50,Marié(e),Consulting,Consultant,2,3,0
Non,2,3,13,2,Transformation Digitale,Occasionnel,1,4,4,2,1,3,3,3,Non,53,Divorcé(e),Consulting,Tech Lead,1,4,0
Non,1,5,14,3,Transformation Digitale,Occasionnel,1,4,3,1,2,4,3,3,Non,33,Marié(e),Consulting,Assistant de Direction,1,8,0
Non,1,2,4,1,Transformation Digitale,Occasionnel,9,4,3,5,3,2,3,3,Non,40,Marié(e),Consulting,Senior Manager,1,20,0
